CODE	quality	Cohort	GROUP	age	sex	ATTATOT	ATTAIND	ATTAC	ATTAL	Cab1No	Cab1Fs	Cab1Fi	Cab1o	Cab2No	Cab2Fs	Cab2Fi	Cab2o	Cab3No	Cab3Fs	Cab3Fi	Cab3o	SCIVall	SCISall	SCIMall	SCIVten	SCISten	SCIMten	ATD
2608961BE	123	1	TL3	19.35890411	F	68	14	82	6	3	7	6	5	4	6	13	5	5	9	10	9		11			8		
2612951ME	12	1	TL1	20.02739726	M	69	6	75	5	1	5	13	5	2	8	9	7					8	7	12	7	4	7	
2701930CR	13	1	TL3	22.93972603	F	69	14	83	6	3	3	18	4					5	7	8	4							
2701942IS	1	1	TL1	21.93972603	F	58	6	64	3	1	2	5	4									7	10	10	6	8	6	
2702963DE	123	1	TL3	19.85479452	M	66	8	74	5	3	3	12	5	4	6	15	5	5	7	11	7							
2703961CL	123	1	TL4	19.77534247	F	74	14	88	7	4	5	12	9	5	6	15	11	1	9	15	12		9			8		
2709953GI	13	1	TL1	20.2739726	F	67	16	83	6	1	4	15	9					3	4	13	9							
2807951SA	123	1	COV	20.44109589	F	69	12	81	6	5	4	7	6	1	6	8	9	2	6	11	7		7			5		
2808961EL	123	1	TL1	19.35342466	F	60	6	66	3	1	3	13	4	2	7	9	6	3	5	8	3	6	7		6	5		
2810942DE	3	1	TL	0	f													5	4	12	8							
2812951KI	2	1	TL3	20.02191781	0									4	5	9	5											
2904930ST	123	1	TL2	22.68767123	F	62	3	65	3	2	4	4	1	3	4	7	4	4	4	1	3	8	9	11	7	5	6	
2911953ST	1	1	COV	20.10136986	F	66	14	80	6	5	2	6	3															
3001960CA	123	1	TL1	19.93150685	M	65	17	82	6	1	4	7	8	2	7	11	8	3	7	5	13							
3004921AN	12	1	TL2	23.68493151	F	48	4	52	2	2	4	7	1	3	6	8	1											
3009930ER	123	1	TL3	22.26575342	F	69	13	82	6	3	5	18	10	4	4	14	7	5	5	16	11							
3009941AN	1	1	TL2	21.26575342	F	64	9	73	4	2	4	10	4															
3009952AN	123	1	TL3	20.26575342	F	65	16	81	6	3	5	7	4	4	4	11	2	5	8	7	3							
3012953SA	123	1	TL3	20.01643836	F	71	20	91	7	3	7	12	10	4	6	18	11	5	7	17	16							
0103930KI	13	2	TL4	22.84931507	f	52	2	54	2	2	4	1	3					2	5	5	6	8	9	10	7	7	6	
0108913DI	1	2	COV	24.43287671	F	64	10	74	5	3	2	7	6									8	10	14	7	5	6	
0110961PA	1	2	COV	19.26027397	F	67	12	79	6	3	4	6	4									8	8	8	8	4	6	
0202942JU	1	2	COV	21.92328767	F	64	10	74	5	3	3	10	6															
0206962LI	12	2	TL2	19.59178082	f	68	9	77	5	5	4	4	5	1	5	9	9					8	11	13	8	7	9	
0207960HE	2	2	TL3	19.50958904	f									3	0	7	9											
0305940AN	123	2	TL1	21.67671233	f	73	18	91	7	4	2	10	6	2	6	14	3	3	4	9	5	7	9	12	6	6	8	
0305950LO	123	2	TL2	20.67671233	f 	67	16	83	6	5	5	13	8	1	6	13	7	2	5	16	10	8	9	11	8	8	7	
0306972LI	123	2	TL3	18.5890411	f	66	19	85	7	1	6	6	9	2	6	11	10	3	6	12	10	6	10	12	6	7	7	
0307971FI	123	2	TL1	18.50684932	f	64	11	75	5	4	6	3	6	5	7	12	10	1	5	8	7							
0401950SU	123	2	TL4	21.00273973	f	67	7	74	5	2	5	12	5	3	5	12	6	4	6	8	7	3	9	6	2	6	1	
0402972AM	12	2	TL3	18.91506849	m	59	5	64	3	1	6	15	7	2	5	13	5					7	8	9	7	7	5	
0402973KA	123	2	TL3	18.91506849	m	59	15	74	5	1	7	7	10	2	6	7	9	2	5	11	11	7	8	9	7	6	5	
0405951KI	123	2	TL1	20.6739726	f 	66	23	89	7	4	8	8	6	5	9	14	5	1	9	13	4	4	9	10	4	6	6	
0406964AM	123	2	TL1	19.58630137	f	64	21	85	7	4	4	12	8	5	7	11	10	1	4	18	11	7	7	12	7	6	7	
0410932IN	2	2	TL2	22.25479452	f 	60	6	66	3					1	2	10	2											
0502954FR	12	2	TL3	10.90684932	m	68	11	79	6	1	5	7	0	2	4	9	4					6	10	9	6	7	7	
0504971MA	123	2	TL2	18.75068493	f	67	16	83	6	5	6	8	2	1	5	7	4	2	5	9	3							
0505931FR	123	2	TL4	22.67123288	m	57	6	63	3	2	3	4	1	3	3	5	0	4	4	6	3	5	8	13	5	6	6	
0506971PE	123	2	TL2	18.66575342	m	67	12	79	6	5	4	6	5	1	0	4	5	2	5	11	1		9	10		6	5	
0508952EM	123	2	TL3	20.41917808	f	60	9	69	4	1	6	16	6	2	7	14	9	3	7	15	7	6	8	11	5	8	6	
0609952LO	123	2	TL3	20.33150685	f	59	2	61	3	1	2	5	2	2	5	6	2	3	3	6	3	4	3	6	4	2	4	
0610940DE	1	2	COV	21.24931507	F	51	6	57	2	3	3	5	0															
0611962JE	123	2	TL2	19.16164384	f 	69	10	79	6	5	5	8	6	1	4	16	7	2	7	19	12	6	11	6	6	9	4	
0611963MA	13	2	TL1	19.16164384	f	58	10	68	4	4	5	12	5					1	5	10	7	7	11	13	7	8	6	
0612943RE	12	2	TL1	21.08219178	m	56	11	67	3	4	4	4	4	5	7	6	6											
0703972JE	123	2	TL4	18.83013699	f	62	6	68	4	2	7	7	9	3	4	11	8	4	4	7	12	6	12	12	6	7	6	
0706971MI	12	2	TL2	18.57808219	f	70	9	79	6	5	3	10	8	1	7	14	13					4	7	6	4	5	3	
0707971HA	123	2	TL1	18.49589041	f	55	9	64	3	4	4	5	6	5	6	12	6	1	5	7	6	5	13	11	5	9	5	
0709962JA	x123	2	TL4	19.6630137	f					2	5	14	5	3	6	12	6	4	4	17	6							
0710963NI	123	2	TL4	19.24383562	f 	65	15	80	6	2	7	6	4	3	6	7	8	4	8	18	7	8	9	7	8	8	4	
0901961FR	13	2	TL3	19.9890411	f	69	9	78	6	1	7	13	3					3	3	11	4	6	9	8	5	6	6	
0905972AL	123	2	TL4	18.65753425	f 	60	8	68	4	2	5	8	11	3	6	8	9	4	5	9	7	9	9	8	8	7	6	
0907972KA	123	2	TL4	18.49041096	f	57	8	65	3	2	5	2	3	3	5	6	5	4	6	13	2	7	12	8	7	9	5	
0909952HA	12	2	COV	20.32328767	F	52	3	55	2	3	2	4	0	4	5	2	1					4	11	12	4	8	8	
1001971SU	1	2	COV	18.98356164	F	68	8	76	5	3	1	6	2															
1002972HE	1	2	TL4	18.89863014	f 	64	13	77	5	2	6	14	4															
1003961MA	13	2	TL3	19.82191781	f	59	7	66	3	1	0	11	3									4	5	11	3	3	7	
1004955RO	123	2	TL2	20.73972603	f	62	18	80	6	5	6	7	3	5	6	7	7	1	6	8	9	10	10	13	10	5	7	
1004971BA	12	2	TL4	18.7369863	f	59	6	65	3	2	4	17	3	3	6	10	2					5	10	15	5	8	9	
1004972ME	12	2	TL2	18.7369863	f	69	15	84	6	5	4	9	3	1	7	11	8					5	5	4	5	4	1	
1007972MI	1	2	COV	18.48767123	F	62	5	67	3	3	3	7	1									9	10	7	8	7	4	
1101961CH	12	2	TL2	19.98356164	m	58	7	65	3	5	3	5	5	1	5	9	6											
1102971LO	123	2	TL2	18.89589041	f	55	9	64	3	5	4	6	1	1	3	4	4	2	8	6	4	8	13	10	8	8	6	
1103971TA	123	2	TL2	18.81917808	f 	60	11	71	4	5	6	8	4	1	4	8	10	2	6	8	4							
1106960BR	123	2	TL4	19.56712329	f	66	11	77	5	2	7	11	2	3	7	7	3	4	2	11	3	8	11	10	8	9	7	
1110961RA	123	2	TL4	19.15068493	f	69	13	82	6	2	5	10	6	3	6	10	11	4	7	16	8	5	10	12	4	7	7	
1203942CA	23	2	TL2	0	0									1	5	9	5	2	5	9	8							
1204951CR	12	2	TL1	20.73424658	f	58	8	66	3	4	1	2	0	5	3	8	0											
1204954CA	123	2	TL2	20.73424658	f	59	6	65	3	5	4	6	2	1	8	3	6	2	4	5	5	7	12	12	7	9	8	
1205933SO	12	2	TL1	22.65205479	m	68	13	81	6	4	4	8	5	5	6	21	9					7	8	8	7	7	6	
1205970CA	12	2	TL4	18.64931507	f	66	10	76	5	2	2	10	1	3	4	9	4					9	7	11	8	4	4	
1206971AN	123	2	TL1	18.56438356	f	67	10	77	5	4	5	7	7	5	8	9	10	1	6	11	10	10	10	13	9	7	7	
1208972DI	1	2	TL1	18.39726027	ff	61	10	71	4	4	4	8	4															
1212962JA	123	2	TL1	19.0630137	m	66	17	83	6	4	5	18	13	5	5	22	13	1	9	11	11	3	8	6	3	6	4	
1302942MA	12	2	TL1	21.89315068	f 	59	14	73	4	4	3	6	2	5	6	4	0					5	6	8	5	5	4	
1304941MY	12	2	TL1	21.73150685	f	58	9	67	3	4	3	11	7	5	5	14	8											
1306882MI	1	2	COV	27.56712329	M	46	3	49	1	3	4	9	3															
1311961JA	12	2	TL4	19.14246575	f	64	7	71	4	2	5	9	1	3	2	16	2						11			8		
1402941AB	123	2	TL4	21.89041096	m	66	4	70	4	2	7	10	5	3	8	15	7	4	5	13	8	6	9	11	6	9	6	
1403952KA	123	2	COV	20.84109589	F	58	6	64	3	3	3	7	1	3	6	7	1	3	6	7	1							
1410960FS	123	2	TL3	19.22465753	f	61	8	69	4	1	3	11	3	2	3	6	2	3	2	2	2	5	13	8	4	10	4	
1411962YA	1	2	COV	19.13972603	F	57	7	64	3	3	2	2	1															
1504961JE	23	2	TL1	19.72328767	f 	57	12	69	4	4	4	14	9	5	5	8	1	1	5	8	2							
1506953JE	12	2	COV	20.55890411	F	60	9	69	4	3	3	8	8	4	5	12	8											
1510942GI	123	2	TL2	21.22465753	f 	57	6	63	3	5	4	3	2	1	3	8	5	2	7	9	4	4	12	9	4	9	5	
1510961LI	12	2	TL1	19.22191781	f	72	11	83	6	4	4	9	6	5	6	13	6											
1512960AN	123	2	TL3	19.1369863	f	55	2	57	2	1	5	8	4	2	7	11	5	3	4	10	5							
1601969AM	1	2	COV	19.96986301	F	61	5	66	3	3	2	5	4															
1605925ME	13	2	TL3	23.64109589	m	58	2	60	3	1	5	11	7					3	5	8	6							
1607971LY	1	2	COV	18.47123288	F	66	9	75	5	3	3	10	6									7	8	11	7	6	6	
1611953CA	12	2	COV	20.1369863	F	62	8	70	4	3	3	6	6	4	8	7	10					6	10	9	5	5	5	
1712961JE	12	2	TL3	19.04931507	f	61	4	65	3	1	4	8	5	2	4	7	5					8	9	11	8	5	7	
1803973EL	123	2	TL2	18.8	f	68	11	79	6	5	4	6	2	1	3	7	6	2	6	4	5							
1808971MA	123	2	TL3	18.38082192	f	61	3	64	3	1	5	6	6	2	5	9	7	3	6	8	7	7	11	8	6	6	5	
1811952MA	23	2	TL4	20.13150685	f									3	5	9	7	4	6	11	4	9	12	16	8	9	8	
1901971NA	12	2	TL3	18.95890411	f	68	6	74	5	1	6	11	7	2	9	6	8											
1902972HI	12	2	TL3	18.8739726	f 	57	4	61	3	1	5	12	8	2	8	14	4											
1905971JU	12	2	TL4	18.63013699	m	64	17	81	6	2	4	8	7	3	2	7	6					4	11	11	4	8	6	
1906961CA	1	2	COV	19.54520548	F	65	10	75	5	3	3	7	8															
1910952KA	12	2	TL1	20.21369863	f 	52	7	59	2	4	3	4	0	5	5	3	0						14	9		9	7	
1910962CA	12	2	TL2	19.2109589	m	60	6	66	3	5	3	4	4	1	3	6	6					7	10	14	7	10	8	
2001971KA	12	2	TL3	18.95616438	f 	59	5	64	3	1	4	7	5	2	4	5	2											
2003971JI	123	2	TL3	18.79452055	f	65	4	69	4	1	4	8	6	2	7	5	4	3	6	7	7	10	11	8	9	7	5	
2006972JE	12	2	TL2	18.54246575	f	58	9	67	3	5	5	9	5	1	3	10	4					6	12	13	5	8	8	
2007951AN	12	2	TL3	20.4630137	f	60	10	70	4	1	6	6	2	2	6	5	2											
2008972SA	12	2	TL1	18.37534247	m	60	16	76	5	4	2	7	1	5	4	6	7					5	10	14	4	7	9	
2010972ST	12	2	TL3	18.20821918	f	59	6	65	3	1	5	16	9	2	3	12	12						11	10		9	7	
2105961ST	12	2	TL4	19.62465753	f	54	7	61	3	2	6	7	1	3	4	7	2					9	9	10	9	8	6	
2106971DE	12	2	TL1	18.53972603	f	64	11	75	5	4	6	11	7	5	8	8	8					7	14	12	7	9	7	
2108950MA	1	2	TL3	20.37534247	f 	55	5	60	3	1	0	10	3										7	4		4	0	
2110962JU	123	2	TL2	19.20547945	f 	64	15	79	6	5	5	9	4	1	5	7	6	2	8	8	6							
2202972AR	123	2	TL3	18.86575342	f	65	12	77	5	1	4	13	10	2	5	10	9	2	4	13	14	8	14	13	7	8	7	
2204961MI	123	2	TL1	19.70410959	f	59	11	70	4	4	4	7	5	5	5	14	9	1	8	9	4	6	11	10	5	8	4	
2208973DE	1	2	TL3	18.36986301	f	72	6	78	6	1	5	9	6									7	11	9	6	8	7	
2306974SH	123	2	TL4	18.53424658	f	73	13	86	7	2	9	15	14	3	11	8	15	4	8	11	13	9	11	12	8	7	9	
2308962AN	12	2	TL4	19.36712329	m	63	4	67	3	2	6	10	6	3	6	9	4											
2406974th	12	2	TL4	18.53150685	f	60	7	67	3	2	6	2	4	3	3	9	3					3	12	9	3	9	7	
2503962JU	12	2	TL2	19.78082192	f	69	11	80	6	5	4	6	2	5	6	12	4					11	11	14	10	8	8	
2504963SA	123	2	TL4	19.69589041	f	62	4	66	3	2	4	8	8	3	6	9	3	4	5	10	6	6	11	6	6	9	4	
2505960AM	123	2	TL2	20.69863014	f	56	11	67	3	5	6	8	6	1	6	12	6	2	6	12	10	5	8	11	5	5	5	
2506970SU	123	2	TL3	18.52876712	m	70	6	76	5	1	5	15	2	2	8	8	6	3	4	8	6	9	12	10	8	8	6	
2509951SU	12	2	TL3	20.61643836	f	63	11	74	5	1	7	10	7	2	9	8	11											
2511923SI	123	2	TL2	23.11232877	m	61	17	78	6	5	4	7	2	1	7	14	9	2	8	18	8	3	9	13	3	5	7	
2601971TE	1	2	COV	18.93972603	F	56	6	62	3	3	3	6	4															
2604891AN	123	2	TL1	26.69863014	f	56	13	69	4	4	2	9	2	5	5	14	7	1	5	8	2	7	11	13	6	7	8	
2605952RU	123	2	TL3	20.61369863	f	66	9	75	5	1	3	7	5	2	3	3	6	3	4	6	6	6	9	12	6	7	4	
2606972BR	123	2	TL2	18.5260274	f	66	16	82	6	5	3	2	7	1	5	11	7	2	6	11	9	7	10	9	7	6	6	
2606976SA	1	2	COV	18.5260274	F	68	16	84	6	3	4	6	11															
2607971GA	1	2	COV	18.44383562	F	61	4	65	3	3	2	10	4															
2608970SU	123	2	TL4	18.35890411	m	53	4	57	2	2	4	7	5	3	4	7	6	4	4	9	4	5	6	10	5	6	4	
2702970ju	2	2	TL4	0	0									3	3	10	2											
2703942MA	12	2	TL2	21.77808219	m	56	14	70	4	5	4	8	4	1	3	11	6											
2703972JO	12	2	TL1	18.77534247	f	61	11	72	4	4	5	8	7	5	6	8	3					7	10	13	7	6	7	
2801972RA	12	2	COV	18.93424658	F	65	14	79	6	3	4	5	3	4	5	6	8					7	12	12	6	7	7	
2802971RA	12	2	COV	18.84931507	F	55	8	63	3	3	2	10	4	4	5	9	3											
2804976CV	1	2	TL1	18.68767123	m	65	13	78	6	4	4	8	4									9	10	12	9	8	7	
2807962SU	123	2	TL4	19.43835616	f	61	13	74	5	2	5	6	5	3	3	15	8	4	6	16	7	5	6	11	4	5	7	
2808962AN	1	2	TL4	19.35342466	f 	59	12	71	4	2	3	4	1															
2901961LY	2	2	TL2	19.93424658	f									1	4	10	8											
2906962KA	123	2	TL2	19.51780822	f 	56	8	64	3	5	3	6	2	1	3	4	6	2	5	6	5							
2907971JU	123	2	TL2	18.43561644	f 	60	11	71	4	5	5	7	5	1	6	10	12	2	6	14	6	8	5	13	7	5	7	
2912962JA	13	2	TL2	19.01643836	m	67	5	72	4	5	4	9	8					2	6	15	8							
3003922US	12	2	TL1	23.76986301	m	49	4	53	2	4	4	8	7	5	5	6	8					1	8	9	1	6	5	
3003963MI	12	2	TL3	19.76712329	m	67	6	73	4	1	8	9	9	2	7	8	5					8	9	8	7	7	5	
3009963HE	12	2	TL1	19.2630137	f 	51	7	58	2	4	7	6	4	5	6	14	8											
3108971GA	123	2	TL2	18.34520548	f	60	15	75	5	5	4	10	6	1	8	16	8	2	6	12	10	7	8	12	6	6	8	
3110972CH	123	2	TL2	18.17808219	f	62	11	73	4	5	4	5	6	1	6	9	8	2	6	11	3		11	14		7	9	
3112900YU	12	2	TL4	25.01643836	f 	56	4	60	3	2	2	6	2	3	3	9	2					3	4	6	3	4	3	
